,0
391,Angleterre2015/201622Journée  Domicile
392,Angleterre2015/201622Journée  Extérieur
393,Angleterre2015/201621Journée  Général
394,Angleterre2015/201621Journée  Domicile
395,Angleterre2015/201621Journée  Extérieur
396,Angleterre2015/201620Journée  Général
397,Angleterre2015/201620Journée  Domicile
398,Angleterre2015/201620Journée  Extérieur
399,Angleterre2015/201619Journée  Général
400,Angleterre2015/201619Journée  Domicile
401,Angleterre2015/201619Journée  Extérieur
402,Angleterre2015/201618Journée  Général
403,Angleterre2015/201618Journée  Domicile
404,Angleterre2015/201618Journée  Extérieur
405,Angleterre2015/201617Journée  Général
406,Angleterre2015/201617Journée  Domicile
407,Angleterre2015/201617Journée  Extérieur
408,Angleterre2015/201616Journée  Général
409,Angleterre2015/201616Journée  Domicile
410,Angleterre2015/201616Journée  Extérieur
411,Angleterre2015/201615Journée  Général
412,Angleterre2015/201615Journée  Domicile
413,Angleterre2015/201615Journée  Extérieur
414,Angleterre2015/201614Journée  Général
415,Angleterre2015/201614Journée  Domicile
416,Angleterre2015/201614Journée  Extérieur
417,Angleterre2015/201613Journée  Général
418,Angleterre2015/201613Journée  Domicile
419,Angleterre2015/201613Journée  Extérieur
420,Angleterre2015/201612Journée  Général
421,Angleterre2015/201612Journée  Domicile
422,Angleterre2015/201612Journée  Extérieur
423,Angleterre2015/201611Journée  Général
424,Angleterre2015/201611Journée  Domicile
425,Angleterre2015/201611Journée  Extérieur
426,Angleterre2015/201610Journée  Général
427,Angleterre2015/201610Journée  Domicile
428,Angleterre2015/201610Journée  Extérieur
429,Angleterre2015/2016Journée  Général
430,Angleterre2015/2016Journée  Domicile
431,Angleterre2015/2016Journée  Extérieur
432,Angleterre2015/20168Journée  Général
433,Angleterre2015/20168Journée  Domicile
434,Angleterre2015/20168Journée  Extérieur
435,Angleterre2015/20167Journée  Général
436,Angleterre2015/20167Journée  Domicile
437,Angleterre2015/20167Journée  Extérieur
438,Angleterre2015/20166Journée  Général
439,Angleterre2015/20166Journée  Domicile
440,Angleterre2015/20166Journée  Extérieur
441,Angleterre2015/20165Journée  Général
442,Angleterre2015/20165Journée  Domicile
443,Angleterre2015/20165Journée  Extérieur
444,Angleterre2015/20164Journée  Général
445,Angleterre2015/20164Journée  Domicile
446,Angleterre2015/20164Journée  Extérieur
447,Angleterre2015/20163Journée  Général
448,Angleterre2015/20163Journée  Domicile
449,Angleterre2015/20163Journée  Extérieur
450,Angleterre2015/20162Journée  Général
451,Angleterre2015/20162Journée  Domicile
452,Angleterre2015/20162Journée  Extérieur
453,Espagne2012/201338Journée  Général
454,Espagne2012/201338Journée  Domicile
455,Espagne2012/201338Journée  Extérieur
456,Espagne2012/201337Journée  Général
457,Espagne2012/201337Journée  Domicile
458,Espagne2012/201337Journée  Extérieur
459,Espagne2012/201336Journée  Général
460,Espagne2012/201336Journée  Domicile
461,Espagne2012/201336Journée  Extérieur
462,Espagne2012/201335Journée  Général
463,Espagne2012/201335Journée  Domicile
464,Espagne2012/201335Journée  Extérieur
465,Espagne2012/201334Journée  Général
466,Espagne2012/201334Journée  Domicile
467,Espagne2012/201334Journée  Extérieur
468,Espagne2012/201333Journée  Général
469,Espagne2012/201333Journée  Domicile
470,Espagne2012/201333Journée  Extérieur
471,Espagne2012/201332Journée  Général
472,Espagne2012/201332Journée  Domicile
473,Espagne2012/201332Journée  Extérieur
474,Espagne2012/201331Journée  Général
475,Espagne2012/201331Journée  Domicile
476,Espagne2012/201331Journée  Extérieur
477,Espagne2012/201330Journée  Général
478,Espagne2012/201330Journée  Domicile
479,Espagne2012/201330Journée  Extérieur
480,Espagne2012/201329Journée  Général
481,Espagne2012/201329Journée  Domicile
482,Espagne2012/201329Journée  Extérieur
483,Espagne2012/201328Journée  Général
484,Espagne2012/201328Journée  Domicile
485,Espagne2012/201328Journée  Extérieur
486,Espagne2012/201327Journée  Général
487,Espagne2012/201327Journée  Domicile
488,Espagne2012/201327Journée  Extérieur
489,Espagne2012/201326Journée  Général
490,Espagne2012/201326Journée  Domicile
491,Espagne2012/201326Journée  Extérieur
492,Espagne2012/201325Journée  Général
493,Espagne2012/201325Journée  Domicile
494,Espagne2012/201325Journée  Extérieur
495,Espagne2012/201324Journée  Général
496,Espagne2012/201324Journée  Domicile
497,Espagne2012/201324Journée  Extérieur
498,Espagne2012/201323Journée  Général
499,Espagne2012/201323Journée  Domicile
500,Espagne2012/201323Journée  Extérieur
501,Espagne2012/201322Journée  Général
502,Espagne2012/201322Journée  Domicile
503,Espagne2012/201322Journée  Extérieur
504,Espagne2012/201321Journée  Général
505,Espagne2012/201321Journée  Domicile
506,Espagne2012/201321Journée  Extérieur
507,Espagne2012/201320Journée  Général
508,Espagne2012/201320Journée  Domicile
509,Espagne2012/201320Journée  Extérieur
510,Espagne2012/201319Journée  Général
511,Espagne2012/201319Journée  Domicile
512,Espagne2012/201319Journée  Extérieur
513,Espagne2012/201318Journée  Général
514,Espagne2012/201318Journée  Domicile
515,Espagne2012/201318Journée  Extérieur
516,Espagne2012/201317Journée  Général
517,Espagne2012/201317Journée  Domicile
518,Espagne2012/201317Journée  Extérieur
519,Espagne2012/201316Journée  Général
520,Espagne2012/201316Journée  Domicile
521,Espagne2012/201316Journée  Extérieur
522,Espagne2012/201315Journée  Général
523,Espagne2012/201315Journée  Domicile
524,Espagne2012/201315Journée  Extérieur
525,Espagne2012/201314Journée  Général
526,Espagne2012/201314Journée  Domicile
527,Espagne2012/201314Journée  Extérieur
528,Espagne2012/201313Journée  Général
529,Espagne2012/201313Journée  Domicile
530,Espagne2012/201313Journée  Extérieur
531,Espagne2012/201312Journée  Général
532,Espagne2012/201312Journée  Domicile
533,Espagne2012/201312Journée  Extérieur
534,Espagne2012/201311Journée  Général
535,Espagne2012/201311Journée  Domicile
536,Espagne2012/201311Journée  Extérieur
537,Espagne2012/201310Journée  Général
538,Espagne2012/201310Journée  Domicile
539,Espagne2012/201310Journée  Extérieur
540,Espagne2012/20139Journée  Général
541,Espagne2012/20139Journée  Domicile
542,Espagne2012/20139Journée  Extérieur
543,Espagne2012/20138Journée  Général
544,Espagne2012/20138Journée  Domicile
545,Espagne2012/20138Journée  Extérieur
546,Espagne2012/20137Journée  Général
547,Espagne2012/20137Journée  Domicile
548,Espagne2012/20137Journée  Extérieur
549,Espagne2012/20136Journée  Général
550,Espagne2012/20136Journée  Domicile
551,Espagne2012/20136Journée  Extérieur
552,Espagne2012/20135Journée  Général
553,Espagne2012/20135Journée  Domicile
554,Espagne2012/20135Journée  Extérieur
555,Espagne2012/20134Journée  Général
556,Espagne2012/20134Journée  Domicile
557,Espagne2012/20134Journée  Extérieur
558,Espagne2012/20133Journée  Général
559,Espagne2012/20133Journée  Domicile
560,Espagne2012/20133Journée  Extérieur
561,Espagne2012/20132Journée  Général
562,Espagne2012/20132Journée  Domicile
563,Espagne2012/20132Journée  Extérieur
564,Espagne2013/201438Journée  Général
565,Espagne2013/201438Journée  Domicile
566,Espagne2013/201438Journée  Extérieur
567,Espagne2013/201437Journée  Général
568,Espagne2013/201437Journée  Domicile
569,Espagne2013/201437Journée  Extérieur
570,Espagne2013/201436Journée  Général
571,Espagne2013/201436Journée  Domicile
572,Espagne2013/201436Journée  Extérieur
573,Espagne2013/201435Journée  Général
574,Espagne2013/201435Journée  Domicile
575,Espagne2013/201435Journée  Extérieur
576,Espagne2013/201434Journée  Général
577,Espagne2013/201434Journée  Domicile
578,Espagne2013/201434Journée  Extérieur
579,Espagne2013/201433Journée  Général
580,Espagne2013/201433Journée  Domicile
581,Espagne2013/201433Journée  Extérieur
582,Espagne2013/201432Journée  Général
583,Espagne2013/201432Journée  Domicile
584,Espagne2013/201432Journée  Extérieur
585,Espagne2013/201431Journée  Général
586,Espagne2013/201431Journée  Domicile
587,Espagne2013/201431Journée  Extérieur
588,Espagne2013/201430Journée  Général
589,Espagne2013/201430Journée  Domicile
590,Espagne2013/201430Journée  Extérieur
591,Espagne2013/201429Journée  Général
592,Espagne2013/201429Journée  Domicile
593,Espagne2013/201429Journée  Extérieur
594,Espagne2013/201428Journée  Général
595,Espagne2013/201428Journée  Domicile
596,Espagne2013/201428Journée  Extérieur
597,Espagne2013/201427Journée  Général
598,Espagne2013/201427Journée  Domicile
599,Espagne2013/201427Journée  Extérieur
600,Espagne2013/201426Journée  Général
601,Espagne2013/201426Journée  Domicile
602,Espagne2013/201426Journée  Extérieur
603,Espagne2013/201425Journée  Général
604,Espagne2013/201425Journée  Domicile
605,Espagne2013/201425Journée  Extérieur
606,Espagne2013/201424Journée  Général
607,Espagne2013/201424Journée  Domicile
608,Espagne2013/201424Journée  Extérieur
609,Espagne2013/201423Journée  Général
610,Espagne2013/201423Journée  Domicile
611,Espagne2013/201423Journée  Extérieur
612,Espagne2013/201422Journée  Général
613,Espagne2013/201422Journée  Domicile
614,Espagne2013/201422Journée  Extérieur
615,Espagne2013/201421Journée  Général
616,Espagne2013/201421Journée  Domicile
617,Espagne2013/201421Journée  Extérieur
618,Espagne2013/201420Journée  Général
619,Espagne2013/201420Journée  Domicile
620,Espagne2013/201420Journée  Extérieur
621,Espagne2013/201419Journée  Général
622,Espagne2013/201419Journée  Domicile
623,Espagne2013/201419Journée  Extérieur
624,Espagne2013/201418Journée  Général
625,Espagne2013/201418Journée  Domicile
626,Espagne2013/201418Journée  Extérieur
627,Espagne2013/201417Journée  Général
628,Espagne2013/201417Journée  Domicile
629,Espagne2013/201417Journée  Extérieur
630,Espagne2013/201416Journée  Général
631,Espagne2013/201416Journée  Domicile
632,Espagne2013/201416Journée  Extérieur
633,Espagne2013/201415Journée  Général
634,Espagne2013/201415Journée  Domicile
635,Espagne2013/201415Journée  Extérieur
636,Espagne2013/201414Journée  Général
637,Espagne2013/201414Journée  Domicile
638,Espagne2013/201414Journée  Extérieur
639,Espagne2013/201413Journée  Général
640,Espagne2013/201413Journée  Domicile
641,Espagne2013/201413Journée  Extérieur
642,Espagne2013/201412Journée  Général
643,Espagne2013/201412Journée  Domicile
644,Espagne2013/201412Journée  Extérieur
645,Espagne2013/201411Journée  Général
646,Espagne2013/201411Journée  Domicile
647,Espagne2013/201411Journée  Extérieur
648,Espagne2013/201410Journée  Général
649,Espagne2013/201410Journée  Domicile
650,Espagne2013/201410Journée  Extérieur
651,Espagne2013/20149Journée  Général
652,Espagne2013/20149Journée  Domicile
653,Espagne2013/20149Journée  Extérieur
654,Espagne2013/2014Journée  Général
655,Espagne2013/2014Journée  Domicile
656,Espagne2013/2014Journée  Extérieur
657,Espagne2013/20148Journée  Général
658,Espagne2013/20148Journée  Domicile
659,Espagne2013/20148Journée  Extérieur
660,Espagne2013/20147Journée  Général
661,Espagne2013/20147Journée  Domicile
662,Espagne2013/20147Journée  Extérieur
663,Espagne2013/20146Journée  Général
664,Espagne2013/20146Journée  Domicile
665,Espagne2013/20146Journée  Extérieur
666,Espagne2013/20145Journée  Général
667,Espagne2013/20145Journée  Domicile
668,Espagne2013/20145Journée  Extérieur
669,Espagne2013/20144Journée  Général
670,Espagne2013/20144Journée  Domicile
671,Espagne2013/20144Journée  Extérieur
672,Espagne2013/20143Journée  Général
673,Espagne2013/20143Journée  Domicile
674,Espagne2013/20143Journée  Extérieur
675,Espagne2013/20142Journée  Général
